sex,age,race,priors_count,juv_fel_count,juv_misd_count,juv_other_count,decile_score,is_recid,jail_time
Male,21,African-American,1,0,1,0,3,1,-5.583333333333333
Male,49,African-American,0,0,0,0,1,0,63.5
Male,21,Hispanic,4,1,0,0,10,1,17.716666666666665
Male,36,African-American,2,0,0,0,2,0,6.216666666666667
Male,23,African-American,0,0,0,0,8,0,27.2
Male,44,African-American,3,0,0,0,3,0,29.083333333333332
Male,25,Hispanic,0,0,0,0,2,0,17.15
Male,34,African-American,13,3,1,0,7,1,26.633333333333333
Female,23,Caucasian,4,0,0,0,9,1,3197.866666666667
Male,25,African-American,11,0,0,0,8,1,12766.6
Male,41,African-American,10,0,1,0,9,1,4224.233333333334
Male,41,Caucasian,4,0,0,0,3,1,20.366666666666667
Male,27,African-American,20,0,0,2,10,0,19.95
Male,45,Hispanic,0,0,0,0,1,0,33.583333333333336
Male,35,African-American,1,0,0,0,2,0,21.416666666666668
Female,31,African-American,14,0,0,0,8,0,43.516666666666666
Male,22,Caucasian,0,0,0,0,3,0,27.666666666666668
Male,23,African-American,3,0,0,0,7,0,24.483333333333334
Female,25,Caucasian,0,0,0,0,5,0,21.35
Male,21,African-American,1,0,1,1,9,1,66.43333333333334
Male,52,Caucasian,2,0,0,0,1,0,766.5833333333334
Male,20,Caucasian,1,0,1,0,5,1,31.516666666666666
Female,35,African-American,3,0,0,0,1,0,14.0
Male,44,Caucasian,0,0,0,0,1,0,31.4
Male,33,Asian,2,0,0,0,8,0,333.43333333333334
Male,61,African-American,29,0,0,0,8,1,454.3666666666667
Male,39,African-American,2,0,0,0,4,0,5374.3
Male,26,African-American,1,0,0,1,10,1,28.533333333333335
Male,25,African-American,0,0,0,0,7,0,7.583333333333333
Male,31,African-American,4,0,0,0,3,1,22.216666666666665
Male,46,African-American,9,0,0,0,7,0,521.5833333333334
Male,48,African-American,5,0,0,0,9,1,5825.766666666666
Male,35,Caucasian,2,0,0,0,5,1,23.666666666666668
Female,64,African-American,0,0,0,0,1,0,97.46666666666667
Male,55,Caucasian,11,0,0,0,7,0,1374.25
Male,27,African-American,15,0,0,0,10,1,723.25
Male,58,Caucasian,12,0,0,0,2,1,1296.65
Male,38,Hispanic,7,1,0,1,7,1,27.916666666666668
Female,27,African-American,1,0,0,0,2,0,20.966666666666665
Male,33,African-American,5,0,0,0,5,1,6.866666666666666
Male,27,African-American,7,0,0,0,9,1,103.7
Male,53,African-American,5,0,0,0,2,0,48.05
Female,25,Caucasian,2,0,0,0,4,0,72.95
Male,27,African-American,8,0,0,0,7,1,1181.05
Male,66,African-American,5,0,0,0,2,1,16.2
Male,49,Other,7,0,0,0,6,1,310.6
Male,39,African-American,18,0,2,0,9,0,0.75
Male,26,African-American,6,0,0,0,9,1,433.53333333333336
Male,32,African-American,0,0,0,0,9,0,1.1833333333333333
Male,26,Caucasian,0,0,0,0,3,1,44.583333333333336
Male,45,Caucasian,2,0,0,0,2,0,2029.7166666666667
Male,45,Caucasian,0,0,0,0,1,0,71.13333333333334
Female,35,African-American,0,0,0,0,1,1,49.45
Male,36,African-American,9,0,0,0,7,1,21.866666666666667
Male,53,Caucasian,1,0,0,0,1,1,119.93333333333334
Male,22,African-American,1,0,0,0,9,1,125.6
Male,24,African-American,1,0,0,0,7,0,3384.6666666666665
Male,29,Caucasian,1,0,0,0,2,1,23.616666666666667
Male,45,Caucasian,2,0,0,0,4,0,71.53333333333333
Male,26,African-American,10,0,0,0,6,1,143.8
Male,33,African-American,0,0,0,0,10,0,3407.633333333333
Male,30,Caucasian,1,0,0,0,8,1,2.933333333333333
Male,58,African-American,12,0,0,0,6,0,2761.4333333333334
Male,24,African-American,2,0,0,0,-1,1,25.416666666666668
Male,22,African-American,4,0,0,0,6,0,20.316666666666666
Male,57,Caucasian,1,0,0,0,1,0,102.08333333333333
Male,27,Caucasian,6,0,0,0,6,1,824.7
Female,40,Caucasian,3,0,0,0,1,1,16.383333333333333
Male,32,African-American,7,0,3,0,2,1,121.36666666666666
Male,40,Other,0,0,0,0,1,0,30.0
Male,39,Caucasian,2,0,0,0,3,0,196.63333333333333
Male,31,African-American,23,0,0,0,10,1,1323.3666666666666
Male,23,African-American,2,0,0,0,4,1,24.616666666666667
Female,37,African-American,5,0,0,0,5,0,26.783333333333335
Male,37,Caucasian,11,0,0,0,8,1,24.483333333333334
Male,30,African-American,15,0,0,0,9,1,482.9166666666667
Female,24,African-American,7,0,0,0,9,0,26.75
Male,63,African-American,0,0,0,0,1,0,19.4
Female,45,Native American,15,0,0,0,10,1,25.083333333333332
Male,32,Caucasian,2,0,0,0,2,0,21.233333333333334
Male,31,Caucasian,2,0,0,0,1,1,808.25
Female,27,African-American,3,0,0,0,10,0,26.983333333333334
Male,25,Caucasian,0,0,0,0,5,1,53.583333333333336
Male,23,Caucasian,3,0,0,0,3,0,29.85
Female,36,Caucasian,4,0,0,0,2,1,2493.733333333333
Male,23,African-American,3,0,0,0,8,0,321.81666666666666
Male,23,African-American,5,0,0,1,6,1,26.3
Female,24,Hispanic,1,0,0,0,4,0,-1.2166666666666666
Male,34,African-American,7,0,0,0,5,1,-10.85
Male,45,African-American,17,0,0,0,7,1,1125.1833333333334
Male,50,Caucasian,0,0,0,0,2,0,169.28333333333333
Female,35,Caucasian,1,0,0,0,4,0,15.133333333333333
Female,26,Caucasian,2,0,0,0,9,0,21.366666666666667
Male,28,African-American,0,0,0,0,8,0,399.8333333333333
Male,21,African-American,0,0,0,0,10,0,2478.85
Male,33,African-American,2,0,0,0,3,0,9.75
Female,23,African-American,0,0,0,0,4,0,13.416666666666666
Male,44,Caucasian,13,0,0,0,9,1,405.26666666666665
Male,31,African-American,0,0,0,0,1,0,23.916666666666668
Male,19,African-American,2,0,2,0,10,1,28.6
Male,39,Caucasian,3,0,0,0,1,1,26.466666666666665
Male,27,Hispanic,4,0,0,0,2,1,75.7
Female,20,African-American,0,0,0,0,5,0,32.666666666666664
Female,39,Hispanic,0,0,0,0,2,0,32.166666666666664
Male,57,African-American,16,0,0,0,7,0,5955.5
Female,20,African-American,1,0,0,0,4,0,27.233333333333334
Male,42,African-American,6,0,0,0,8,1,13.816666666666666
Female,50,African-American,7,0,0,0,4,0,25.85
Female,23,African-American,1,0,0,0,4,0,145.75
Female,20,African-American,1,1,0,0,10,1,280.8
Female,34,Caucasian,3,0,0,0,5,0,433.6333333333333
Male,29,African-American,0,0,0,0,5,1,13.583333333333334
Male,22,African-American,1,0,0,0,7,1,-4.933333333333334
Male,23,Caucasian,0,0,0,0,2,1,26.866666666666667
Female,30,African-American,11,0,0,0,7,1,145.21666666666667
Male,36,Caucasian,1,0,0,0,2,0,13.716666666666667
Male,48,African-American,4,0,0,0,8,0,6.5
Female,41,Caucasian,9,0,0,0,4,1,16.05
Male,55,African-American,5,0,0,0,4,0,7222.466666666666
Male,25,African-American,1,0,0,0,3,0,896.5833333333334
Male,54,African-American,1,0,0,0,3,0,122.88333333333334
Female,36,African-American,3,0,0,0,6,1,4.2
Male,26,African-American,13,0,0,0,10,1,175.26666666666668
Male,55,Caucasian,1,0,0,0,3,0,21.9
