decile_score,juv_fel_count,juv_misd_count,juv_other_count,c_charge_degree,jail_time
1,0,0,0,5,5.8
6,0,1,1,12,5092.65
3,0,0,0,12,14.85
10,0,3,0,6,410.8
1,0,0,0,6,23.266666666666666
1,0,0,0,12,24.233333333333334
4,0,0,0,5,26.316666666666666
8,0,0,0,12,795.8666666666667
5,0,0,0,12,291.6
9,0,0,0,12,48.8
9,0,0,0,12,1417.1
2,0,0,0,5,19.383333333333333
3,0,0,0,12,626.3333333333334
2,0,0,0,12,55.45
1,0,0,0,6,191.88333333333333
8,0,0,0,12,25.25
6,0,0,0,12,41.266666666666666
1,0,0,0,13,219.63333333333333
10,0,0,0,12,39.56666666666667
8,0,0,0,12,2188.5333333333333
2,0,0,0,12,29.35
10,0,0,0,6,383.1166666666667
5,0,0,0,6,17.083333333333332
8,1,8,5,13,45.06666666666667
2,0,0,0,12,223.41666666666666
4,0,0,0,12,19.216666666666665
5,0,0,0,5,27.466666666666665
1,0,0,0,5,1.8333333333333333
7,0,0,0,13,651.7333333333333
7,0,0,0,12,27.016666666666666
7,0,0,0,12,811.5333333333333
2,0,0,0,12,21.9
3,0,0,0,12,93.71666666666667
7,0,0,0,12,847.7833333333333
4,0,0,0,12,17.966666666666665
9,0,0,0,12,655.0833333333334
9,0,0,0,12,-4.133333333333334
1,0,0,0,12,31.183333333333334
2,0,0,0,5,21.383333333333333
3,0,0,0,12,31.1
1,0,0,0,14,121.18333333333334
1,0,0,0,6,24.683333333333334
2,0,0,0,12,27.233333333333334
7,0,0,0,5,328.71666666666664
5,0,0,0,12,23.783333333333335
2,0,0,0,6,1400.8333333333333
4,0,0,0,6,-0.8666666666666667
1,0,0,0,6,4.75
7,0,1,0,12,24.283333333333335
2,0,0,0,6,162.48333333333332
2,0,0,0,12,239.7
2,0,0,0,12,3.7666666666666666
4,0,0,0,13,29.95
3,0,0,0,12,25.866666666666667
6,0,0,0,12,7.1
4,0,0,0,12,28.266666666666666
8,0,0,0,12,105.35
3,0,0,0,13,46.13333333333333
1,0,0,0,6,30.416666666666668
8,0,0,0,12,14.133333333333333
2,0,0,0,12,27.333333333333332
8,0,0,0,12,6.416666666666667
3,0,0,0,13,64.8
9,0,0,0,12,47.85
5,0,0,0,13,2548.6
8,0,0,0,12,905.8166666666667
6,0,0,0,12,-2.25
6,0,0,0,12,17.866666666666667
1,0,0,0,6,22.933333333333334
7,0,0,0,5,85.33333333333333
6,0,1,0,6,49.833333333333336
9,0,0,0,5,29.333333333333332
8,0,0,0,6,-9.966666666666667
6,0,2,0,5,118.48333333333333
1,0,0,0,13,24.633333333333333
4,0,0,0,12,21.483333333333334
2,0,0,0,12,22.483333333333334
7,0,0,0,12,3068.116666666667
7,0,1,2,12,17.933333333333334
3,0,0,0,12,20.466666666666665
9,0,0,0,13,118.3
2,0,0,0,12,24.116666666666667
1,0,0,0,6,-1.5333333333333334
2,0,0,0,12,18.75
8,0,0,0,12,22.1
3,0,0,0,13,1191.6833333333334
2,0,0,0,6,25.516666666666666
7,0,0,0,13,28.7
1,0,0,0,14,718.1833333333333
1,0,0,0,5,90.3
9,0,3,0,5,4920.8
2,0,0,0,12,27.866666666666667
1,0,0,0,6,28.516666666666666
4,0,0,0,6,24.3
9,0,0,0,5,27.3
8,0,1,2,12,308.7
3,0,0,0,6,21.033333333333335
9,0,0,1,6,358.4166666666667
5,0,0,0,12,4266.6
1,0,0,0,6,4017.1
4,0,0,0,6,1705.6666666666667
1,0,0,0,6,18.333333333333332
2,0,0,0,12,22.066666666666666
4,0,1,0,13,220.71666666666667
2,0,0,0,12,15.783333333333333
2,0,0,0,12,1535.9333333333334
1,0,0,0,12,24.216666666666665
3,0,0,0,6,1065.9166666666667
1,0,0,0,6,50.483333333333334
1,0,0,0,6,-0.85
10,0,0,1,13,741.95
4,0,0,0,12,2834.1666666666665
3,0,0,0,12,236.21666666666667
9,0,0,1,6,52.6
5,0,0,0,12,28.35
5,0,0,0,12,41.46666666666667
8,0,0,0,12,24.383333333333333
8,0,0,0,13,1635.3833333333334
8,0,0,0,5,45.11666666666667
10,0,1,0,12,1419.55
5,0,0,0,12,28.35
8,0,0,0,12,1109.2833333333333
5,0,0,0,12,2023.2
8,0,0,1,6,429.46666666666664
3,0,0,0,12,29.466666666666665
8,0,0,0,12,2604.8166666666666
5,0,0,0,13,78.63333333333334
1,0,0,0,5,24.983333333333334
9,0,0,0,6,154.01666666666668
9,0,1,0,12,42.85
2,0,0,0,12,67.0
6,0,0,0,5,522.6166666666667
8,0,0,0,12,874.1333333333333
4,0,0,0,13,14.266666666666667
7,0,2,0,12,29.616666666666667
7,1,0,1,12,883.5666666666667
1,0,0,0,6,25.633333333333333
1,0,0,0,6,13.133333333333333
4,0,0,0,12,26.016666666666666
10,0,0,0,13,43.81666666666667
5,0,0,0,6,1132.0333333333333
1,0,0,0,12,101.26666666666667
5,0,0,0,12,358.1666666666667
4,0,0,3,6,26.766666666666666
4,0,0,0,13,244.7
1,0,0,0,6,21.633333333333333
8,2,0,0,12,42.15
